,,500,,,,,1000,,,,,5000,,,,,,,,,,,,,,,,,,,
group,True_score,N_Traditional_500,True_error_Traditional_500,True_error_MAIHDA_500,ESE_Traditional_500,ESE_MAIHDA_500,N_Traditional_1000,True_error_Traditional_1000,True_error_MAIHDA_1000,ESE_Traditional_1000,ESE_MAIHDA_1000,N_Traditional_5000,True_error_Traditional_5000,True_error_MAIHDA_5000,ESE_Traditional_5000,ESE_MAIHDA_5000,,,,,,,,,,TSE_Traditional_500,TSE_Traditional_1000,TSE_Traditional_5000,TSE_MAIHDA_500,TSE_MAIHDA_1000,TSE_MAIHDA_5000
CG Asian men,47,28.34623431,3.999487448,3.384502092,4.938138075,4.589032427,56.779,2.842682,2.493505,3.48785,3.163923,285.918,1.225914,1.168523,1.555245,1.455582,,,,,,,,,,5.081176254,3.587433337,1.544235499,4.169387935,3.06092783,1.413029411
CG Asian women,37,15.91841004,4.727487448,3.597859833,6.060898536,4.965983264,32.289,3.470744,2.623649,4.22332,3.480247,160.77,1.495104,1.314911,1.880852,1.677758,,,,,,,,,,5.971219192,4.372411856,1.884656829,4.324160306,3.248227522,1.589466232
CG Black men,41,11.7625523,5.351303347,4.222284519,6.848555439,5.640105649,23.582,3.845516,3.007202,4.77224,3.942329,117.447,1.706662,1.569048,2.116951,1.863864,,,,,,,,,,6.810807239,4.803638967,2.16897121,5.141092885,3.676298832,1.819825961
CG Black women,29,6.663179916,6.799485356,4.345594142,8.91416841,6.07784205,13.089,4.834233,3.046601,6.173857,4.323273,65.703,2.220033,1.638218,2.695865,2.160396,,,,,,,,,,8.780738637,6.121553047,2.76862457,5.439155608,3.801776859,1.995669618
CG Hispanic men,37,15.06066946,5.019981172,3.671414226,6.181855649,5.037504184,30.162,3.578509,2.742822,4.330434,3.540467,151.263,1.480919,1.311175,1.922778,1.702625,,,,,,,,,,6.27890151,4.506820042,1.878996035,4.479744889,3.336508057,1.586945194
CG Hispanic women,28,8.487447699,6.157805439,3.533305439,7.960595188,5.448365063,17.08,4.705305,2.776351,5.454527,3.867508,84.521,1.891697,1.383574,2.419693,1.96101,,,,,,,,,,7.706762063,5.844331758,2.37635969,4.443417508,3.484187573,1.714104644
CG White Hispanic men,40,20.24686192,4.661029289,3.488303347,5.533843096,4.826248954,40.493,3.135111,2.465246,3.890161,3.351954,200.857,1.412768,1.234795,1.739566,1.577757,,,,,,,,,,5.804252018,3.873676037,1.759675866,4.36480334,3.044409547,1.54224021
CG White Hispanic women,32,11.37029289,5.534166318,3.860733264,6.944391213,5.235266736,22.801,3.881082,2.75282,4.834272,3.709629,113.531,1.679723,1.399982,2.145589,1.835094,,,,,,,,,,6.989518909,4.875935592,2.10910171,4.549867918,3.276648951,1.688240361
CG White men,49,129.042887,2.937314854,2.906310669,3.546717573,3.86901046,258.155,2.088261,2.063896,2.53505,2.601844,1292.469,0.937113,0.939581,1.14155,1.124044,,,,,,,,,,3.650787663,2.624503572,1.17741669,3.574638401,2.570947179,1.170202341
CG White women,35,72.89644351,3.125462343,3.117273013,3.889183054,4.093830544,145.066,2.237112,2.36684,2.771715,2.7901,726.912,1.033681,1.086906,1.244765,1.229437,,,,,,,,,,3.98751138,2.770279961,1.298091657,3.79276186,2.687121007,1.307139684
FG Asian men,44,16.19351464,4.810284519,3.708338912,6.001424686,4.964043933,31.879,3.356685,2.748634,4.242501,3.497588,160.842,1.551977,1.376544,1.880254,1.685116,,,,,,,,,,6.140851596,4.221561608,1.947028602,4.517185402,3.224674898,1.654391424
FG Asian women,37,9.055439331,5.738962343,3.657708159,7.691570084,5.349072176,18.315,4.297238,2.782616,5.301137,3.809751,90.373,1.960973,1.532825,2.352874,1.93341,,,,,,,,,,7.411590986,5.4432017,2.440075122,4.474416547,3.385583026,1.813848221
FG Black men,37,6.658995816,7.349770921,4.592896444,8.948776151,6.092186192,13.306,4.745,3.493947,6.12136,4.348289,66.085,2.105748,1.984305,2.68816,2.188914,,,,,,,,,,9.480631747,6.047627625,2.671546769,5.341605105,3.798500031,2.026478755
FG Black women,32,3.74790795,9.323814854,4.887718619,12.0323023,6.479811715,7.393,6.595219,3.446888,8.20445,4.699274,37.13,2.790041,2.052771,3.491036,2.483249,,,,,,,,,,12.1608925,8.46330095,3.518526012,5.548388675,3.901280108,2.125580612
FG Hispanic men,36,8.486401674,6.059040795,3.894358787,7.9105659,5.455891213,16.828,4.539786,3.257012,5.509375,3.903763,85.053,1.919193,1.709246,2.413233,1.985853,,,,,,,,,,7.791855599,5.725023465,2.411831679,4.581187897,3.59334267,1.814944411
FG Hispanic women,30,4.822175732,8.744919456,3.984258368,10.60250523,5.845543933,9.56,5.606116,2.919051,7.207685,4.228978,47.611,2.426445,1.664861,3.110697,2.2607,,,,,,,,,,11.20029101,7.114794171,3.040188669,4.698190825,3.453156727,1.891080037
FG White Hispanic men,40,11.44769874,5.665621339,3.638608787,6.942337866,5.217142259,22.708,3.838987,2.583929,4.845969,3.681438,113.212,1.696037,1.349736,2.148877,1.817215,,,,,,,,,,7.070732026,4.731997313,2.123211162,4.553337955,3.200921952,1.687927294
FG White Hispanic women,35,6.373430962,7.265089958,5.219115063,9.113414226,5.643877615,12.74,4.914426,4.146482,6.25483,4.09368,63.841,2.254298,2.678191,2.72954,2.190623,,,,,,,,,,9.13221814,6.154489024,2.78813337,4.619850633,3.435035961,2.065490344
FG White men,48,72.53138075,3.230450837,3.013392259,3.892296025,4.068764644,145.958,2.341245,2.211405,2.768416,2.754402,726.543,1.004437,0.980619,1.244864,1.208699,,,,,,,,,,3.992032437,2.909788223,1.257709398,3.737699526,2.723163415,1.226183261
FG White women,38,40.88807531,3.543950837,3.139732218,4.440501046,4.351114017,81.817,2.565976,2.292241,3.146904,2.977663,409.919,1.16222,1.097516,1.40896,1.341451,,,,,,,,,,4.501174067,3.190305393,1.426718563,3.950648596,2.847581984,1.35408116